年份,,出生率,死亡率,自然增长率
1978,,18.25,6.25,12.00
1980,,18.21,6.34,11.87
1981,,20.91,6.36,14.55
1982,,22.28,6.60,15.68
1983,,20.19,6.90,13.29
1984,,19.90,6.82,13.08
1985,,21.04,6.78,14.26
1986,,22.43,6.86,15.57
1987,,23.33,6.72,16.61
1988,,22.37,6.64,15.73
1989,,21.58,6.54,15.04
1990,,21.06,6.67,14.39
1991,,19.68,6.70,12.98
1992,,18.24,6.64,11.60
1993,,18.09,6.64,11.45
1994,,17.70,6.49,11.21
1995,,17.12,6.57,10.55
1996,,16.98,6.56,10.42
1997,,16.57,6.51,10.06
1998,,15.64,6.50,9.14
1999,,14.64,6.46,8.18
2000,,14.03,6.45,7.58
2001,,13.38,6.43,6.95
2002,,12.86,6.41,6.45
2003,,12.41,6.40,6.01
2004,,12.29,6.42,5.87
2005,,12.40,6.51,5.89
2006,,12.09,6.81,5.28
2007,,12.10,6.93,5.17
2008,,12.14,7.06,5.08
2009,,11.95,7.08,4.87
2010,,11.90,7.11,4.79
2011,,13.27,7.14,6.13
2012,,14.57,7.13,7.43
2013,,13.03,7.13,5.90
2014,,13.83,7.12,6.71
2015,,11.99,7.07,4.93
2016,,13.57,7.04,6.53
2017,,12.64,7.06,5.58
2018,,10.86,7.08,3.78
2019,,10.41,7.09,3.32
2020,,8.52,7.07,1.45

